hour,cooling_kW
930,1.403388984080292
931,1.4711546512621962
932,1.5446145125506454
933,1.5136330372073474
934,1.4745576403196434
935,1.1033221137608729
936,0.6478155807952983
937,0.5614009879281057
938,0.48821497257875573
939,0.377164504934098
940,0.3102973773583972
941,0.25647374683757135
942,0.5597228843198242
943,0.6417841852987602
944,1.2710318882348217
945,1.6545074481539241
946,1.6931903954662837
947,1.6983247525428868
948,1.6103776989714254
949,1.6322360956675324
950,1.6464897527914388
951,1.4196098083596735
952,1.1994226370869858
953,1.1891029072470294
954,1.3443482131595337
955,1.3754294887513328
956,1.396498633228745
957,1.3557582915777637
958,1.280516854254218
959,0.8915349567587799
960,0.44953752965738225
961,0.33461258764125296
962,0.22125522475440645
963,0.09568793818270081
964,0.0036763278350219154
965,0.0
966,0.16241398967072804
967,0.2545617137845983
968,0.803552011473444
969,1.3395285895942286
970,1.3948938452918855
971,1.339672720491773
972,1.408030558080771
973,1.4576041248171703
974,1.4374903956258223
975,1.371495158789202
976,1.240343293700035
977,1.2986122659361652
978,1.5824408465005426
979,1.7031008818474838
980,1.7814116406904474
981,1.823668696977922
982,1.784674394671585
983,1.3536919476918923
984,0.9061214315682149
985,0.7874108990783376
986,0.6818071726580277
987,0.5911744979510931
988,0.523239545383923
989,0.4585254732117085
990,0.7808272056933956
991,0.9481748607439617
992,1.299755762457504
993,1.7381297111274032
994,1.8376327784070574
995,1.7916643279007174
996,1.843346354515261
997,1.874098375797397
998,1.88101840506347
999,1.8391182007154192
1000,1.7232160758256352
1001,1.5804291784574223
1002,1.8855092759868928
1003,2.0213126031596222
1004,2.1071293290879516
1005,2.1542502631644727
1006,2.195638634327245
1007,1.7527014756395638
1008,1.2587311716341458
1009,1.121614582800534
1010,0.9984675728153646
1011,0.8869576730180817
1012,0.7860570231580458
1013,0.6932934641291459
1014,1.040823546281101
1015,1.3651147110861985
1016,1.9258089767594375
1017,2.363012673713484
1018,2.355956442771943
1019,2.2589293000239414
1020,2.3182238271327984
1021,2.3808901927979114
1022,2.377892481682374
1023,2.316553815156733
1024,2.184020083822357
1025,2.0240458322708648
1026,2.3447123393318323
1027,2.4827035368303947
1028,2.5635204386656985
1029,2.5989272312629073
1030,2.6255300095679237
1031,2.163258640637998
1032,1.6201070678327918
1033,1.4628936058646893
1034,1.327330223038747
1035,1.205893066683604
1036,1.0894675470533368
1037,0.9832019353159199
1038,1.2755688262722125
1039,1.1964222467220198
1040,1.5485720432413161
1041,2.002093962078065
1042,2.010772529694546
1043,1.9410292950452004
1044,1.972706046221424
1045,2.0435454817400847
1046,2.0716226726548466
1047,2.0005244659601757
1048,1.8750307222281064
1049,1.9423556984100894
1050,2.2597116339439123
1051,2.401575507939055
1052,2.4842203982644273
1053,2.529445933849442
1054,2.4918318244733877
1055,2.043152095052098
1056,1.5399408993490022
1057,1.4059984000140018
1058,1.2913993166461892
1059,1.1689105860890496
1060,1.0609368364959721
1061,0.967242551051731
1062,1.2750108730715486
1063,1.307007387285231
1064,1.7697754157927656
1065,2.0022851186271926
1066,1.9794306480549313
1067,1.993570881238683
1068,1.8830076947158696
1069,1.8932770345587253
1070,1.886872058313463
1071,1.6632072495076116
1072,1.4869886605915434
1073,1.5321988551426695
1074,1.7016526812904855
1075,1.74421257258847
1076,1.7755604284105946
1077,1.7432830627054894
1078,1.6675523485788082
1079,1.2379649960021295
1080,0.7371289473303414
1081,0.6315397957184886
1082,0.5645478352211228
1083,0.4944192366857247
1084,0.4288925136009016
1085,0.35510044579452144
1086,0.6574598913305006
1087,0.5415373097525784
1088,0.8607423341180073
1089,1.1318675423048528
1090,1.0926428596523732
1091,1.1784699768045346
1092,1.1546062354131137
1093,1.2309024932772785
1094,1.3160920123414663
1095,1.1685677387474183
1096,1.0406209888840874
1097,1.13788867034705
1098,1.340738212570089
1099,1.4134384168708196
1100,1.4709278949159372
1101,1.4883014003761634
1102,1.4496686249332154
1103,1.0601870743410386
1104,0.6054463767564754
1105,0.5299349883191447
1106,0.47993827017376867
1107,0.40719048001000197
1108,0.3218233837018113
1109,0.22661546077054762
1110,0.5845918627361837
1111,0.873306642355736
1112,1.3196319358058082
1113,1.7594686535013389
1114,1.7524729052343107
1115,1.6570470029711608
1116,1.7046687318746343
1117,1.751646304185166
1118,1.7411522067967082
1119,1.675387590667119
1120,1.5368010509357604
1121,1.57749024685482
1122,1.873365041259054
1123,2.0055572830582467
1124,2.0898941967867444
1125,2.134430493531563
1126,2.0894945180189075
1127,1.6393950338254233
1128,1.14169193156222
1129,1.0012763037260548
1130,0.8822014779404286
1131,0.7735156246839475
1132,0.6659249686447548
1133,0.5648963643160875
1134,0.9421810652495946
1135,1.266805288571056
1136,1.6740734840388232
1137,2.0802107790702253
1138,2.0486954990892405
1139,1.9418601971842706
1140,1.9860787247557785
1141,2.0360336132879757
1142,2.0297407397655975
1143,1.961375641655577
1144,1.8149656588744931
1145,1.8404760111645986
1146,2.133570773570376
1147,2.2536014095402193
1148,2.318475570544212
1149,2.340057898375187
1150,2.2733456404675927
1151,1.7963668840322988
1152,1.2979516142943925
1153,1.136374240323865
1154,0.9929489594844582
1155,0.8614374948066963
1156,0.7473994548687432
1157,0.6465273542172232
1158,1.0125374671798313
1159,1.4342673265984915
1160,1.8236626224477683
1161,2.122895718625941
1162,2.090864032924216
1163,1.9858919571701963
1164,1.9811251292809193
1165,2.0507230923097293
1166,2.050324339636046
1167,1.9637646880982245
1168,1.7881086001352648
1169,1.578264591406584
1170,1.8303983002945907
1171,1.9131384038371286
1172,1.9472889094887504
1173,1.9476171141432606
1174,1.9509332763434106
1175,1.486124547333541
1176,0.9818595905913715
1177,0.8416840836717338
1178,0.7248418402784607
1179,0.6193348438073754
1180,0.5307035054025853
1181,0.4529640598608535
1182,0.8081782749745307
1183,1.2392061410736837
1184,1.674062978070911
1185,2.072517801584125
1186,2.038211546743197
1187,1.9270250798407351
1188,1.9656065683910582
1189,2.0121679780363113
1190,2.001197204466224
1191,1.933086831067941
1192,1.79645629675909
1193,1.6286770262651453
1194,1.9238214547230927
1195,2.0400683654229343
1196,2.1004979046545245
1197,2.1236311377428123
1198,2.1465698157326303
1199,1.6932572863059698
1200,1.1644021024471525
1201,1.0172798631726259
1202,0.8878750520789918
1203,0.7697192808618983
1204,0.6644415744905952
1205,0.5736013956701596
1206,0.9536841486863779
1207,1.2547829238380352
1208,1.6596246520660636
1209,2.06361361547895
1210,2.02508168994843
1211,1.9041948208628898
1212,1.9336153623631729
1213,1.98085629915307
1214,1.9751797591982483
1215,1.9119641494516055
1216,1.7770923041790885
1217,1.8186190952024923
1218,2.129959873300022
1219,2.2709694562227756
1220,2.357660008454192
1221,2.400507187989547
1222,2.3522543779541634
1223,1.892714281132946
1224,1.3823064225107138
1225,1.22806961129093
1226,1.0925409358227443
1227,0.9678578086137244
1228,0.8551533542246514
1229,0.752477532058277
1230,1.1185174669607867
1231,1.4362438826206698
1232,1.8520633756565292
1233,2.254420973043442
1234,2.2103600037923594
1235,2.080184735079379
1236,2.093196944889643
1237,2.1038453370001995
1238,2.0535324531558303
1239,1.9451419554315417
1240,1.7568995689097944
1241,1.744080218966125
1242,1.9912117969244165
1243,2.06995896206327
1244,2.0999740049732933
1245,2.095084657176438
1246,2.009787167666424
1247,1.5318582260271167
1248,1.0154958581846227
1249,0.8561363325781358
1250,0.7203514476267463
1251,0.5976508803363287
1252,0.49820996616939056
1253,0.41745452485422474
1254,0.765267369033405
1255,1.0169683102188105
1256,1.429297388362618
1257,1.8221169808752646
1258,1.7736847615438254
1259,1.6521666531526542
1260,1.672319608964118
1261,1.6969206218913733
1262,1.661373859033601
1263,1.5660772748880096
1264,1.4030831424093688
1265,1.4270205067945554
1266,1.6828975146999345
1267,1.7801084605330444
1268,1.832340405481308
1269,1.8520104000385476
1270,1.7929745149885647
1271,1.3463477577069294
1272,0.8603602060283125
1273,0.7330046322365661
1274,0.62369476886259
1275,0.5290238488927334
1276,0.447743664816547
1277,0.3587096123778365
1278,0.6995194930019405
1279,0.9771760233234704
1280,1.416038434844552
1281,1.8305915912701196
1282,1.7892227061767514
1283,1.669075580970337
1284,1.7003062709785972
1285,1.7436426460204186
1286,1.7318245291700156
1287,1.6656902808871628
1288,1.5290688082338784
1289,1.574915306595369
1290,1.8709885205970074
1291,2.00201552289309
1292,2.0783681567826404
1293,2.1130231986412347
1294,2.057533620574928
1295,1.5961539603460597
1296,1.0858806789917819
1297,0.931952812728173
1298,0.7979266792572075
1299,0.672555164166143
1300,0.562849868624477
1301,0.47224198957794195
1302,0.8415097222973112
1303,1.115079516604511
1304,1.5158460090992405
1305,1.907025862436614
1306,1.8741803409764255
1307,1.7558078610055419
1308,1.782991158143601
1309,1.8118419502937078
1310,1.79785036125471
1311,1.7331626407156702
1312,1.5974923324239125
1313,1.645654094460232
1314,1.9452216921210912
1315,2.0819293194709734
1316,2.17120256857667
1317,2.216059483566632
1318,2.1692442706142083
1319,1.7200250611888388
1320,1.2491621652509064
1321,1.1127682921881215
1322,0.9968517646497652
1323,0.8926262415246065
1324,0.7941310472152603
1325,0.7011479146161019
1326,1.0738502138412471
1327,1.5514518335147898
1328,2.008275961491301
1329,2.421275200433694
1330,2.4198559555469243
1331,2.315218604790205
1332,2.3699795770216836
1333,2.4387591554965087
1334,2.448280308556712
1335,2.3929933456328945
1336,2.2583308546933463
1337,2.0925910484306196
1338,2.40265974803824
1339,2.5349822377998663
1340,2.6061837441857483
1341,2.630357596314585
1342,2.6558727173859005
1343,2.1960273018165757
1344,1.67856466871124
1345,1.5210242258706028
1346,1.3809734453468743
1347,1.253690912034098
1348,1.1380480331801859
1349,1.0313290116729872
1350,1.377853856683174
1351,1.8033775907292369
1352,2.264121677962534
1353,2.706694444537833
1354,2.7114874652758663
1355,2.599991674135135
1356,2.6461983503307462
1357,2.6926190329449744
1358,2.677779084311985
1359,2.595853165107946
1360,2.4397628532459845
1361,2.2499954994503155
1362,2.537286300769091
1363,2.646974268692628
1364,2.6984746910613207
1365,2.708303500030955
1366,2.714238473991333
1367,2.235197803121594
1368,1.678496633244843
1369,1.5076533948617372
1370,1.3592725965070902
1371,1.2204253808216197
1372,1.0923250257382913
1373,0.9733661045421258
1374,1.3187806234137545
1375,1.6113533325554337
1376,2.042356884457561
1377,2.4621036620260077
1378,2.4536761901548756
1379,2.3457402408197643
1380,2.3825715342261473
1381,2.4404377705846096
1382,2.398720164400179
1383,2.3009094047139347
1384,2.1979651275073673
1385,2.268557417658364
1386,2.582324768600367
1387,2.7282345901819953
1388,2.819567675664266
1389,2.8684280949448815
1390,2.823306846566047
1391,2.3592384593943825
1392,1.8410337869129991
1393,1.6813515108333386
1394,1.541866024989532
1395,1.4115636824321955
1396,1.2859665493035024
1397,1.1663467501288687
1398,1.5174051884425444
1399,1.8669086296743587
1400,2.326491393836994
1401,2.7663474403044224
1402,2.7572748347146243
1403,2.629177705634565
1404,2.6732256221037987
1405,2.719312576024365
1406,2.714063592367273
1407,2.6478031747266506
1408,2.504333890142897
1409,2.5395884907975863
1410,2.856605576734194
1411,2.9902332264723666
1412,3.0600444551773216
1413,3.0748367868007827
1414,2.994083105659684
1415,2.4946849679902185
1416,1.9325470558059952
1417,1.7341024643012148
1418,1.5648735495451556
1419,1.4040689049326147
1420,1.251205430260674
1421,1.1125568880543486
1422,1.4501070057679928
1423,1.7871185010423098
1424,2.2244043919753427
1425,2.6340446351058775
1426,2.6090602159097833
1427,2.463483401142445
1428,2.4825070141790406
1429,2.518615362232345
1430,2.502519409162766
1431,2.426990617629069
1432,2.275235503729065
1433,2.3093467626100583
1434,2.626504493710025
1435,2.7736954273816083
1436,2.868516184412802
1437,2.905681147084688
1438,2.847137148571399
1439,2.375406319410065
1440,1.8518882905280853
1441,1.690587226845032
1442,1.5508058488697307
1443,1.42295634745388
1444,1.3065281565084101
1445,1.2018421225435616
1446,1.5269365399644375
1447,1.6113513668951436
1448,1.912498796045761
1449,2.2816485305420176
1450,2.2216502286315842
1451,2.1835661381612583
1452,2.2576910534762265
1453,2.2998267733993747
1454,2.2627675946411676
1455,2.1515088854317157
1456,2.0031870970375674
1457,2.071986685383805
1458,2.3615662345611295
1459,2.461377557783824
1460,2.5025642401484873
1461,2.513444135911574
1462,2.4335238192350563
1463,1.947053442708558
1464,1.421861611878345
1465,1.251527183364446
1466,1.1024485175890448
1467,0.9680646025222903
1468,0.8386018705322548
1469,0.7257446584404798
1470,1.0911003927900242
1471,1.3369907184764467
1472,1.6375993353458647
1473,1.995689169418198
1474,1.966674610893336
1475,1.8569844189801914
1476,1.8950731624895367
1477,1.9206117583657216
1478,1.8906921976790036
1479,1.8166971430495644
1480,1.7016741236922373
1481,1.7865040844627456
1482,2.083198945864397
1483,2.2009127627322935
1484,2.2635763170440435
1485,2.302338948642179
1486,2.2385392910424864
1487,1.765865590633056
1488,1.2809430069429848
1489,1.1193031019501378
1490,0.9794271717780565
1491,0.8494483027281089
1492,0.7348430188101999
1493,0.6358395693826119
1494,1.0121266767701178
1495,1.451716899082947
1496,1.8305003885892894
1497,2.1835379196145808
1498,2.1296309099759787
1499,2.000732970471102
1500,2.0486855453658555
1501,2.089507965925463
1502,2.0748160594694083
1503,2.014743944236091
1504,1.9100356991208616
1505,1.8079593919294077
1506,2.1136737628487987
1507,2.2300862027435584
